symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,rsi,macd,macd_signal,bb_upper,bb_lower,bb_width,obv,atr,doji,engulfing,vwap,predicted_trend,signal
SEMLFBSLGF,2025-02-03,9.9,10.7,10.7,9.9,297975,0.688,109,8.08,1645047737.5,2025-02-03T18:27:00+08:00,0,59.124916038788115,0.4330725236928181,0.24703431458286165,10.81535711393869,6.404642886061309,51.22780752470827,1863079,1.1903920202815768,0,1,8.457323868776033,1,buy
SEMLFBSLGF,2025-02-04,7.9,6.9,7.9,6.9,204670,0.336,149,-12.66,8162088201.45,2025-02-04T16:35:00+08:00,0,44.42492556380287,0.22889181348725707,0.24340581436374076,10.765257097133711,6.19474290286629,53.89757304560637,1658409,1.3767925902614642,0,0,8.431382448456374,0,sell
SEMLFBSLGF,2025-02-05,8.6,8.2,8.6,8.2,291880,2.712,168,-4.65,6166211975.58,2025-02-05T18:57:00+08:00,0,49.08838131751699,0.17001642157706165,0.22872793580640494,10.755710177997138,6.284289822002862,52.4814595773976,1950289,1.3998788338142167,0,0,8.428505861898008,0,sell
SEMLFBSLGF,2025-02-06,7.4,8.0,8.0,7.4,215860,0.891,92,8.11,5524850643.13,2025-02-06T16:27:00+08:00,0,48.41527825512131,0.10599705274055893,0.20418175919323575,10.647778604720926,6.542221395279075,47.76680871950961,1734429,1.3570303456846295,0,0,8.415158704650173,1,buy
SEMLFBSLGF,2025-02-07,7.2,6.9,7.2,6.9,184213,0.217,100,-4.17,5349153409.24,2025-02-07T16:38:00+08:00,0,44.77847717157306,-0.03311780378650475,0.15672184659728766,10.492449877882812,6.377550122117189,48.783636701430034,1550216,1.3386710352785844,0,0,8.389968453882725,0,sell
SEMLFBSLGF,2025-02-08,9.4,8.9,9.4,8.9,443740,1.077,79,-5.32,9975949496.43,2025-02-08T16:54:00+08:00,0,51.859126347262034,0.017810645416352244,0.12893960636110058,10.51639783197718,6.383602168022818,48.90882442549542,1993956,1.421623104187257,0,0,8.4177910162602,0,sell
SEMLFBSLGF,2025-02-09,7.9,7.4,7.9,7.4,261992,2.607,132,-6.33,6552449850.83,2025-02-09T18:14:00+08:00,0,46.99238635328248,-0.062149237919486566,0.09072183750498315,10.453019308848365,6.516980691151635,46.388198205029234,1731964,1.4272214538881671,0,0,8.39761952834967,0,sell
SEMLFBSLGF,2025-02-10,9.2,9.0,9.2,9.0,128079,1.144,134,-2.17,7152245661.35,2025-02-10T18:40:00+08:00,0,52.15063780180595,0.003547710896246059,0.07328701218323573,10.501020142680844,6.578979857319158,45.92553027355603,1860043,1.453848492896155,0,0,8.405282349852715,0,sell
SEMLFBSLGF,2025-02-11,8.6,8.1,8.6,8.1,74043,0.112,126,-5.81,1876455175.9,2025-02-11T17:34:00+08:00,0,49.24757572537197,-0.016815622207055014,0.05526648530517759,10.417627415165258,6.542372584834744,45.69875979163343,1786000,1.414287886260715,0,0,8.404370581825876,0,sell
SEMLFBSLGF,2025-02-12,9.5,10.0,10.0,9.5,365277,2.829,39,5.26,8921335663.2,2025-02-12T16:27:00+08:00,0,54.94915788205949,0.11898878202491225,0.06801094464912452,10.557609160660258,6.492390839339743,47.685845411384335,2151277,1.448981608670664,0,0,8.44928257477635,1,buy
SEMLFBSLGF,2025-02-13,8.1,8.7,8.7,8.1,323173,0.381,66,7.41,9482940675.8,2025-02-13T18:59:00+08:00,0,50.748330920574666,0.12032854281035732,0.07847446428137109,10.53007142724627,6.67992857275373,44.743089535067284,1828104,1.4811972080513307,0,0,8.450654719080134,1,buy
SEMLFBSLGF,2025-02-14,9.2,9.9,9.9,9.2,458972,1.921,156,7.61,1000906662.17,2025-02-14T17:18:00+08:00,0,54.22694483255522,0.21573344322276888,0.10592626006965064,10.68489348086558,6.695106519134422,45.91239311543335,2287076,1.4611116931905213,0,0,8.495648984353025,1,buy
SEMLFBSLGF,2025-02-15,8.8,8.9,8.9,8.8,343441,2.314,34,1.14,9544471108.36,2025-02-15T16:49:00+08:00,0,50.99463347202737,0.20825029177126453,0.12639106640997344,10.708809466657518,6.741190533342481,45.47414250217808,1943635,1.4353180008197697,0,0,8.505644812099208,1,buy
SEMLFBSLGF,2025-02-16,9.5,10.0,10.0,9.5,382063,3.281,138,5.26,7385802997.8,2025-02-16T18:02:00+08:00,0,54.22675110984456,0.28776348887596903,0.15866555090317258,10.742261816505259,6.727738183494743,45.959057046485576,2325698,1.4113667150469291,0,0,8.54427955556063,1,buy
SEMLFBSLGF,2025-02-17,8.2,9.0,9.0,8.2,205379,1.826,43,9.76,9884991902.49,2025-02-17T18:13:00+08:00,0,50.93766994542335,0.26700871750357535,0.18033418422325315,10.749378013217022,6.730621986782978,45.98119023379913,2120319,1.43912623540072,0,0,8.547191260951386,1,buy
SEMLFBSLGF,2025-02-18,9.2,9.1,9.2,9.1,308274,0.679,55,-1.09,9898006503.35,2025-02-18T18:41:00+08:00,0,51.25606497174959,0.25568223033143056,0.19540379344488865,10.783855395492663,6.766144604507337,45.78587795994674,2428593,1.3506172185863827,0,0,8.560435294395594,0,sell
SEMLFBSLGF,2025-02-19,8.4,8.1,8.4,8.1,467416,1.937,128,-3.57,2759410218.39,2025-02-19T18:41:00+08:00,0,47.90787784615032,0.16412236453751383,0.18914750766341368,10.782288829940121,6.7277111700598775,46.31156664626207,1961177,1.3255731315444983,0,0,8.548495915292007,0,sell
SEMLFBSLGF,2025-02-20,8.3,8.4,8.4,8.3,438480,2.941,174,1.2,9566790717.83,2025-02-20T17:05:00+08:00,0,48.98452241857902,0.11444871054469985,0.17420774823967095,10.780270917882632,6.719729082117368,46.40619240874587,2399657,1.2523179078627484,0,0,8.543015992380976,1,buy
SEMLFBSLGF,2025-02-21,8.8,8.8,8.8,8.8,480085,4.488,95,0.0,4787239788.48,2025-02-21T17:55:00+08:00,0,50.454885407199505,0.10613517866378075,0.1605932343244929,10.780270917882632,6.719729082117368,46.40619240874587,2879742,1.1914380573011236,1,0,8.55122491086956,0,sell
SEMLFBSLGF,2025-02-22,7.5,7.3,7.5,7.3,73564,0.306,135,-2.67,7088150020.29,2025-02-22T17:42:00+08:00,0,45.194428625765376,-0.02124590960376338,0.12422540553884166,10.653896760505539,6.576103239494457,47.333645049461204,2806178,1.2134781960653291,0,0,8.545455082379164,0,sell
SEMLFBSLGF,2025-02-23,9.2,9.6,9.6,9.2,397353,1.443,21,4.35,3211325545.99,2025-02-23T17:01:00+08:00,0,53.244096259146886,0.06267199456957151,0.11191472334498764,10.422686232300006,6.697313767699993,43.52070636214969,3203531,1.291086896346377,0,0,8.569070659148226,1,buy
SEMLFBSLGF,2025-02-24,7.9,8.6,8.6,7.9,165835,1.412,197,8.86,5871549201.91,2025-02-24T17:08:00+08:00,0,49.818023515959425,0.047933349753014554,0.09911844862659303,10.34497058798086,6.94502941201914,39.328411520667686,3037696,1.3202949751787787,0,0,8.566928083573066,1,buy
SEMLFBSLGF,2025-02-25,8.9,9.2,9.2,8.9,386983,1.807,43,3.37,9885432137.93,2025-02-25T16:04:00+08:00,0,51.82119034222259,0.08370297732120413,0.09603535436551525,10.398496404457607,6.991503595542395,39.183356054229,3424679,1.26884533409458,0,0,8.579778611528877,1,buy
SEMLFBSLGF,2025-02-26,8.5,8.9,8.9,8.5,213075,1.979,149,4.71,5259099615.78,2025-02-26T18:37:00+08:00,0,50.7307661807246,0.08684211028977273,0.09419670555036676,10.414992537296804,7.065007462703195,38.329348679560745,3211604,1.2282135245163956,0,0,8.58222672060463,1,buy
SEMLFBSLGF,2025-02-27,8.8,9.4,9.4,8.8,261154,2.353,170,6.82,8227881924.09,2025-02-27T18:22:00+08:00,0,52.52383574195982,0.12819793115928135,0.10099695067214969,10.332344540317639,7.397655459682358,33.10421974771891,3472758,1.1833411299080816,0,1,8.591988416139618,1,buy
SEMLFBSLGF,2025-02-28,8.7,9.6,9.6,8.7,418648,3.324,164,10.34,8333921630.62,2025-02-28T18:19:00+08:00,0,53.25663658945823,0.17509268618628404,0.11581609777497656,10.401998668441482,7.398001331558518,33.75277906610072,3891406,1.16310247777179,0,1,8.609479827249423,1,buy
SEMLFBSLGF,2025-03-01,7.8,8.6,8.6,7.8,157700,0.563,86,10.26,7135245041.34,2025-03-01T16:41:00+08:00,0,49.17000681059342,0.13006615310275293,0.11866610884053183,10.305213737664014,7.614786262335988,30.02709235857171,3733706,1.2085951579309477,0,0,8.606933678352396,1,buy
SEMLFBSLGF,2025-03-02,7.7,7.4,7.7,7.4,380341,3.52,94,-3.9,9376930771.96,2025-03-02T16:16:00+08:00,0,44.733971947650055,-0.0024197762715552074,0.09444893181811444,10.386784656146983,7.373215343853015,33.93659135466181,3353365,1.2079812180787373,0,0,8.582853732161889,0,sell
SEMLFBSLGF,2025-03-03,8.8,9.1,9.1,8.8,220123,0.915,135,3.41,6398606333.88,2025-03-03T18:51:00+08:00,0,51.42049202162952,0.029420817822893852,0.08144330901907032,10.395742132846014,7.464257867153985,32.82737139632731,3573488,1.2431254167873986,0,0,8.588040310151081,1,buy
SEMLFBSLGF,2025-03-04,8.4,7.5,8.4,7.5,260548,2.139,149,-10.71,3457577820.82,2025-03-04T18:15:00+08:00,0,45.80358637697075,-0.07360345538314128,0.050433956138628,10.31029066960504,7.29970933039496,34.191724465759,3312940,1.2686164584454416,0,0,8.576611041740145,0,sell
SEMLFBSLGF,2025-03-05,8.4,8.5,8.5,8.4,389512,1.838,194,1.19,1877575773.6,2025-03-05T16:19:00+08:00,0,49.51538693928547,-0.07370961296185108,0.025605242318532184,10.305595908904824,7.284404091095177,34.35124295406079,3702452,1.2494295685564814,0,0,8.57427779702868,1,buy
SEMLFBSLGF,2025-03-06,7.6,7.1,7.6,7.1,172130,1.246,166,-6.58,6563711193.3,2025-03-06T18:49:00+08:00,0,44.881028658683924,-0.18463370094560538,-0.01644254633429533,10.246822854465908,7.06317714553409,36.78389034005566,3530322,1.2601845993738756,0,0,8.562128597710458,0,sell
SEMLFBSLGF,2025-03-07,9.3,8.8,9.3,8.8,481985,0.728,61,-5.38,3554387394.94,2025-03-07T17:06:00+08:00,0,50.89153866881371,-0.1338234143124133,-0.039918719929918925,10.239339485446704,7.060660514553296,36.74773376755385,4012307,1.3273142708471701,0,0,8.57238632448866,0,sell
SEMLFBSLGF,2025-03-08,9.9,10.0,10.0,9.9,166277,1.048,162,1.01,5023502107.47,2025-03-08T17:49:00+08:00,0,54.65075476995632,0.003236763697207934,-0.031287623204493555,10.239339485446704,7.060660514553296,36.74773376755385,4178584,1.3182203943580864,0,0,8.584477205990956,1,buy
SEMLFBSLGF,2025-03-09,9.7,9.9,9.9,9.7,491346,3.165,162,2.06,8089970188.81,2025-03-09T18:41:00+08:00,0,54.27787634987092,0.10260599987343966,-0.004508898588906914,10.370082087540784,7.019917912459214,38.529777746769064,3687238,1.2454903661896517,0,0,8.615679529466757,1,buy
SEMLFBSLGF,2025-03-10,8.1,8.2,8.2,8.1,194083,0.304,174,1.23,4916117797.5,2025-03-10T18:42:00+08:00,0,48.25076896589737,0.04367755528360995,0.005128392185596459,10.327498137107757,6.972501862892243,38.78608409497703,3493155,1.285098197176105,0,0,8.611291512228899,1,buy
SEMLFBSLGF,2025-03-11,8.5,8.3,8.5,8.3,213805,1.01,89,-2.35,7789102339.43,2025-03-11T16:29:00+08:00,0,48.61224663652379,0.00498800404902866,0.0051003145582829,10.32661333247997,6.99338666752003,38.48991529976837,3706960,1.2147340402349547,0,0,8.608686018709879,0,sell
SEMLFBSLGF,2025-03-12,10.0,10.3,10.3,10.0,308029,2.95,129,3.0,3104602880.22,2025-03-12T18:55:00+08:00,0,55.33247649455469,0.1341629937763642,0.030912850401899165,10.562180123839344,6.947819876160654,41.28338375418264,4014989,1.270824465932458,0,0,8.632735487136591,1,buy
SEMLFBSLGF,2025-03-13,7.8,7.2,7.8,7.2,160323,1.179,53,-7.69,8565679692.02,2025-03-13T17:46:00+08:00,0,45.418016923437804,-0.013453900240982364,0.02203950027332286,10.604637271613502,6.7453627283865005,44.48731461933143,3854666,1.4014798612229968,0,0,8.623114471235283,0,sell
SEMLFBSLGF,2025-03-14,7.7,7.0,7.7,7.0,143645,1.22,83,-9.09,8790108569.08,2025-03-14T18:39:00+08:00,0,44.85955078769582,-0.14490925708943259,-0.01135025119922823,10.636259092325698,6.683740907674301,45.64108758257964,3711021,1.3513741568499256,0,0,8.613463615979374,0,sell
SEMLFBSLGF,2025-03-15,7.6,6.7,7.6,6.7,163985,1.107,146,-11.84,3552507134.24,2025-03-15T17:20:00+08:00,0,43.98586010008472,-0.27018158217480703,-0.06311651739434399,10.615737965573052,6.414262034426949,49.342054388092805,3547036,1.3191331456463593,0,0,8.60077357843709,0,sell
SEMLFBSLGF,2025-03-16,8.4,8.0,8.4,8.0,207163,0.757,50,-4.76,3991059501.57,2025-03-16T16:02:00+08:00,0,48.652742131170726,-0.261546719125743,-0.1028025577406238,10.597131624686304,6.372868375313699,49.78507070562881,3754199,1.3463379209573336,0,0,8.596174783510696,0,sell
SEMLFBSLGF,2025-03-17,8.2,7.5,8.2,7.5,440947,2.224,131,-8.54,3482297865.77,2025-03-17T16:16:00+08:00,0,47.02976176721959,-0.29168696352746615,-0.1405794388979923,10.526969675383269,6.273030324616732,50.64213512817305,3313252,1.3001709266032382,0,0,8.578476848074986,0,sell
